"match_id","team_id","team_name","player_id","player_name","player_position","player_minutesPlayed","player_index_score","tackles","tackle_errors","carries","carry_errors","metres_carried","passes","pass_errors","tries_scored","ruck_entries","ruck_errors","lineout_throws","lineout_throw_errors","lineout_contests_won","lineout_contest_errors","goal_kicks_made","goal_kicks_errors","kicks","kick_errors","reception_success","reception_failure"
271663,2581,"Saracens",131724,"Ollie Lawrence","outside centre",80,83.29,7,1,5,0,0,2,0,1,7,0,0,0,0,0,0,0,1,0,1,0
271663,2581,"Saracens",159960,"Matt Gallagher","full back",80,84.76,2,2,14,0,0,6,0,0,4,0,0,0,0,0,0,0,12,0,17,0
271663,2581,"Saracens",179563,"Joe Cokanasiga","right wing",80,60.72,4,1,5,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,1,3
271663,2581,"Saracens",175011,"Max Ojomoh","inside centre",80,70.85,5,1,4,0,0,6,0,0,3,1,0,0,0,0,0,0,0,0,2,0
271663,2581,"Saracens",159461,"Jonathan Joseph","left wing",21,95.85,2,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
271663,2581,"Saracens",143754,"Niall Annett","Hooker",17,96.16,2,0,4,0,0,4,0,0,5,0,3,0,0,0,0,0,0,0,1,0
271663,2581,"Saracens",174651,"Dave Attwood","second row",17,94.74,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0
271663,2581,"Saracens",172959,"D'arcy Rae","Tighthead Prop",17,56.45,4,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
271663,2581,"Saracens",223187,"Juan Schoeman","Loosehead Prop",17,55.54,3,3,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0
271663,2581,"Saracens",100192,"Josh Bayliss","number eight",13,73.65,0,0,1,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0
271663,2581,"Saracens",196813,"Piers Francis","fly half",6,62.88,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
271663,2581,"Saracens",224220,"Max Green","scrum half",5,68.59,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271736,4581,"Bristol Bears",212999,"AJ MacGinty","fly half",80,92.86,6,0,10,0,0,18,0,0,10,0,0,0,0,0,5,1,12,1,2,0
271736,4581,"Bristol Bears",183340,"Harry Thacker","hooker",80,73.4,15,2,11,2,0,10,0,1,14,1,17,0,0,0,0,0,0,0,2,2
271736,4581,"Bristol Bears",206810,"Chris Vui","second row",80,83.84,12,2,15,2,0,8,0,0,14,0,0,0,7,1,0,0,0,0,3,1
271736,4581,"Bristol Bears",135370,"Ioan Lloyd","left wing",68,82.54,1,0,8,1,0,5,0,0,9,1,0,0,0,0,0,0,1,0,5,1
271736,4581,"Bristol Bears",208392,"Charles Piutau","full back",80,78.48,3,2,19,1,0,12,0,0,8,0,1,0,1,0,0,0,3,0,7,0
271736,4581,"Bristol Bears",142481,"Steven Luatua","flanker",72,73.67,6,0,4,2,0,4,0,0,18,0,0,0,2,0,0,0,0,0,2,0
271736,4581,"Bristol Bears",195214,"Harry Randall","scrum half",64,95.51,2,1,5,1,0,71,0,0,1,0,0,0,0,0,0,0,12,0,2,0
